Data,Zamkniecie,logprices,logrates
1/2/2018,1189,3.075181855,0
1/3/2018,1204.2,3.080698623,0.005516768
1/4/2018,1209.64,3.08265614,0.001957517
1/5/2018,1229.14,3.089601352,0.006945213
1/8/2018,1246.87,3.095821176,0.006219824
1/9/2018,1252.7,3.097847077,0.002025902
1/10/2018,1254.33,3.098411809,0.000564732
1/11/2018,1276.68,3.106082055,0.007670245
1/12/2018,1305.2,3.115677065,0.00959501
1/16/2018,1304.86,3.115563918,-0.000113147
1/17/2018,1295,3.112269768,-0.00329415
1/18/2018,1293.32,3.111705994,-0.000563775
1/19/2018,1294.58,3.112128893,0.0004229
1/22/2018,1327.31,3.122972366,0.010843473
1/23/2018,1362.54,3.134349261,0.011376894
1/24/2018,1357.51,3.132743037,-0.001606223
1/25/2018,1377.95,3.139233459,0.006490422
1/26/2018,1402.05,3.146763502,0.007530043
1/29/2018,1417.68,3.151578213,0.004814711
1/30/2018,1437.82,3.15770452,0.006126308
1/31/2018,1450.89,3.161634487,0.003929967
2/1/2018,1390,3.1430148,-0.018619687
2/2/2018,1429.95,3.155320852,0.012306052
2/5/2018,1390,3.1430148,-0.012306052
2/6/2018,1442.84,3.159218174,0.016203374
2/7/2018,1415.15,3.150802476,-0.008415698
2/8/2018,1350.5,3.130494589,-0.020307887
2/9/2018,1339.6,3.126975139,-0.00351945
2/12/2018,1387.33,3.142179778,0.015204639
2/13/2018,1414.51,3.150606022,0.008426244
2/14/2018,1451.05,3.161682378,0.011076355
2/15/2018,1461.76,3.164876074,0.003193696
2/16/2018,1448.69,3.160975462,-0.003900611
2/20/2018,1468.36,3.166832545,0.005857083
2/21/2018,1482.92,3.171117723,0.004285177
2/22/2018,1485.34,3.171825877,0.000708154
2/23/2018,1500,3.176091259,0.004265382
2/26/2018,1521.95,3.182400385,0.006309126
2/27/2018,1511.98,3.179546046,-0.002854338
2/28/2018,1512.45,3.179681026,0.00013498
3/1/2018,1493.45,3.174190687,-0.005490339
3/2/2018,1500.25,3.176163635,0.001972948
3/5/2018,1523.61,3.182873814,0.006710179
3/6/2018,1537.64,3.186854668,0.003980854
3/7/2018,1545,3.188928484,0.002073816
3/8/2018,1551.86,3.190852539,0.001924055
3/9/2018,1578.89,3.198351874,0.007499335
3/12/2018,1598.39,3.203682754,0.00533088
3/13/2018,1588.18,3.200899723,-0.002783031
3/14/2018,1591,3.20167018,0.000770457
3/15/2018,1582.32,3.199294317,-0.002375862
3/16/2018,1571.68,3.196364127,-0.002930191
3/19/2018,1544.93,3.188908807,-0.00745532
3/20/2018,1586.51,3.200442814,0.011534007
3/21/2018,1581.86,3.199168044,-0.00127477
3/22/2018,1544.92,3.188905995,-0.010262049
3/23/2018,1495.56,3.174803841,-0.014102154
3/26/2018,1555.86,3.191970516,0.017166674
3/27/2018,1497.05,3.175236306,-0.01673421
3/28/2018,1431.42,3.155767081,-0.019469225
3/29/2018,1447.34,3.160570565,0.004803484
4/2/2018,1371.99,3.137350946,-0.023219619
4/3/2018,1392.05,3.143654835,0.006303889
4/4/2018,1410.57,3.149394643,0.005739808
