Data,Zamkniecie,logprices,logrates
1/2/2018,181.42,2.258685163,0
1/3/2018,184.67,2.266396349,0.007711187
1/4/2018,184.33,2.265596023,-0.000800326
1/5/2018,186.85,2.271493102,0.005897079
1/8/2018,188.28,2.27480419,0.003311087
1/9/2018,187.87,2.273857435,-0.000946754
1/10/2018,187.84,2.27378808,-6.93558E-05
1/11/2018,187.77,2.273626206,-0.000161873
1/12/2018,179.37,2.253749808,-0.019876398
1/16/2018,178.39,2.251370505,-0.002379303
1/17/2018,177.6,2.249442961,-0.001927544
1/18/2018,179.8,2.254789687,0.005346726
1/19/2018,181.29,2.258373849,0.003584162
1/22/2018,185.37,2.26803945,0.009665601
1/23/2018,189.35,2.277265309,0.00922586
1/24/2018,186.55,2.270795253,-0.006470056
1/25/2018,187.48,2.272954945,0.002159691
1/26/2018,190,2.278753601,0.005798656
1/29/2018,185.98,2.269466243,-0.009287358
1/30/2018,187.12,2.272120209,0.002653965
1/31/2018,186.89,2.271586064,-0.000534145
2/1/2018,193.09,2.285759783,0.014173719
2/2/2018,190.28,2.279393143,-0.00636664
2/5/2018,181.26,2.258301976,-0.021091167
2/6/2018,185.31,2.267898856,0.00959688
2/7/2018,180.18,2.255706583,-0.012192273
2/8/2018,171.595,2.234504629,-0.021201954
2/9/2018,176.11,2.245784017,0.011279388
2/12/2018,176.4,2.246498581,0.000714564
2/13/2018,173.15,2.238422496,-0.008076085
2/14/2018,179.52,2.25411284,0.015690344
2/15/2018,179.96,2.255175984,0.001063145
2/16/2018,177.36,2.24885568,-0.006320304
2/20/2018,176.01,2.245537343,-0.003318337
2/21/2018,177.91,2.25020036,0.004663017
2/22/2018,178.99,2.252828768,0.002628408
2/23/2018,183.29,2.263138771,0.010310003
2/26/2018,184.93,2.26700737,0.003868598
2/27/2018,181.46,2.258780907,-0.008226463
2/28/2018,178.32,2.251200055,-0.007580851
3/1/2018,175.94,2.245364588,-0.005835468
3/2/2018,176.62,2.24703988,0.001675293
3/5/2018,180.4,2.256236533,0.009196653
3/6/2018,179.78,2.254741376,-0.001495157
3/7/2018,183.71,2.264132797,0.009391421
3/8/2018,182.34,2.26088195,-0.003250847
3/9/2018,185.23,2.267711327,0.006829376
3/12/2018,184.76,2.266607954,-0.001103373
3/13/2018,181.88,2.259784946,-0.006823008
3/14/2018,184.19,2.265266048,0.005481102
3/15/2018,183.86,2.264487256,-0.000778792
3/16/2018,185.09,2.267382955,0.0028957
3/19/2018,172.56,2.236940132,-0.030442823
3/20/2018,168.15,2.225696872,-0.01124326
3/21/2018,169.39,2.228887768,0.003190896
3/22/2018,164.89,2.217194318,-0.01169345
3/23/2018,159.39,2.202461071,-0.014733247
3/26/2018,160.06,2.204282813,0.001821742
3/27/2018,152.22,2.182471718,-0.021811095
3/28/2018,153.03,2.184776578,0.002304861
3/29/2018,159.79,2.203549597,0.018773018
4/2/2018,155.39,2.191423067,-0.01212653
4/3/2018,156.11,2.193430724,0.002007657
4/4/2018,155.1,2.190611798,-0.002818926
4/5/2018,159.34,2.202324813,0.011713015
4/6/2018,157.2,2.196452542,-0.005872271
4/9/2018,157.93,2.198464635,0.002012094
4/10/2018,165.04,2.217589215,0.01912458
4/11/2018,166.32,2.220944476,0.003355261
4/12/2018,163.87,2.214499454,-0.006445023
4/13/2018,164.52,2.216218701,0.001719247
4/16/2018,164.83,2.217036259,0.000817558
4/17/2018,168.66,2.227012096,0.009975837
4/18/2018,166.36,2.221048912,-0.005963184
4/19/2018,168.1,2.225567713,0.004518802
4/20/2018,166.28,2.220840016,-0.004727698
4/23/2018,165.84,2.219689289,-0.001150727
4/24/2018,159.69,2.203277721,-0.016411568
4/25/2018,159.69,2.203277721,0
4/26/2018,174.16,2.240948416,0.037670695
4/27/2018,173.59,2.239524703,-0.001423713
4/30/2018,172,2.235528447,-0.003996256
5/1/2018,173.86,2.240199675,0.004671228
5/2/2018,176.07,2.245685364,0.005485689
5/3/2018,174.02,2.240599164,-0.0050862
5/4/2018,176.61,2.247015291,0.006416126
5/7/2018,177.97,2.2503468,0.00333151
5/8/2018,178.92,2.25265889,0.002312089
5/9/2018,182.66,2.261643453,0.008984564
5/10/2018,185.53,2.268414145,0.006770691
5/11/2018,186.99,2.271818382,0.003404237
5/14/2018,186.64,2.271004726,-0.000813656
5/15/2018,184.32,2.265572462,-0.005432264
5/16/2018,183.2,2.262925469,-0.002646992
5/17/2018,183.76,2.264250982,0.001325513
5/18/2018,182.68,2.261691003,-0.002559979
5/21/2018,184.49,2.265972831,0.004281828
5/22/2018,183.8,2.264345507,-0.001627324
5/23/2018,186.9,2.271609301,0.007263794
5/24/2018,185.93,2.269349469,-0.002259832
5/25/2018,184.92,2.266983885,-0.002365585
5/29/2018,185.74,2.268905441,0.001921556
5/30/2018,187.67,2.273394854,0.004489413
5/31/2018,191.78,2.282803314,0.00940846
6/1/2018,193.99,2.287779343,0.004976029
6/4/2018,193.28,2.286186917,-0.001592426
6/5/2018,192.94,2.285422274,-0.000764643
6/6/2018,191.34,2.28180577,-0.003616505
6/7/2018,188.18,2.274573464,-0.007232305
6/8/2018,189.1,2.276691529,0.002118065
6/11/2018,191.54,2.282259483,0.005567954
6/12/2018,192.4,2.284205068,0.001945585
6/13/2018,192.41,2.28422764,2.25719E-05
6/14/2018,196.81,2.294047161,0.009819522
6/15/2018,195.85,2.291923576,-0.002123585
6/18/2018,198.31,2.297344615,0.005421039
6/19/2018,197.49,2.29554511,-0.001799505
6/20/2018,202,2.305351369,0.00980626
6/21/2018,201.5,2.30427505,-0.001076319
6/22/2018,201.74,2.304792016,0.000516966
6/25/2018,196.35,2.293030906,-0.011761111
6/26/2018,199,2.298853076,0.005822171
6/27/2018,195.84,2.2919014,-0.006951676
6/28/2018,196.23,2.292765404,0.000864003
6/29/2018,194.32,2.288517502,-0.004247902
7/2/2018,197.36,2.295259136,0.006741635
7/3/2018,192.73,2.284949321,-0.010309815
7/5/2018,198.45,2.297651103,0.012701782
7/6/2018,203.23,2.307987817,0.010336714
7/9/2018,204.74,2.311202699,0.003214882
7/10/2018,203.54,2.30864977,-0.002552929
7/11/2018,202.54,2.306510806,-0.002138965
7/12/2018,206.92,2.31580247,0.009291664
7/13/2018,207.32,2.3166412,0.00083873
7/16/2018,207.23,2.316452627,-0.000188573
7/17/2018,209.99,2.322198614,0.005745987
7/18/2018,209.36,2.32089371,-0.001304904
7/19/2018,208.09,2.31825121,-0.002642499
7/20/2018,209.94,2.322095193,0.003843983
7/23/2018,210.91,2.324097172,0.002001979
7/24/2018,214.67,2.331771356,0.007674185
7/25/2018,217.5,2.337459261,0.005687905
7/26/2018,176.26,2.246153766,-0.091305496
7/27/2018,174.89,2.242764978,-0.003388788
7/30/2018,171.06,2.233148468,-0.00961651
7/31/2018,172.58,2.236990465,0.003841997
8/1/2018,171.65,2.234643808,-0.002346657
8/2/2018,176.37,2.246424715,0.011780907
8/3/2018,177.78,2.249882902,0.003458187
8/6/2018,185.69,2.268788516,0.018905614
8/7/2018,183.81,2.264369135,-0.004419381
8/8/2018,185.18,2.26759408,0.003224945
8/9/2018,183.09,2.262664625,-0.004929455
8/10/2018,180.26,2.255899367,-0.006765258
8/13/2018,180.05,2.255393126,-0.000506241
8/14/2018,181.11,2.257942431,0.002549305
8/15/2018,179.53,2.254137031,-0.0038054
8/16/2018,174.7,2.242292905,-0.011844126
8/17/2018,173.8,2.240049772,-0.002243133
8/20/2018,172.5,2.236789099,-0.003260673
8/21/2018,172.62,2.237091112,0.000302013
8/22/2018,173.64,2.239649777,0.002558665
8/23/2018,172.9,2.237794993,-0.001854784
8/24/2018,174.645,2.242156157,0.004361163
8/27/2018,177.46,2.249100477,0.006944321
8/28/2018,176.26,2.246153766,-0.002946711
8/29/2018,175.9,2.245265839,-0.000887926
8/30/2018,177.64,2.249540765,0.004274925
8/31/2018,175.73,2.244845909,-0.004694855
9/4/2018,171.16,2.233402278,-0.011443631
9/5/2018,167.18,2.223184321,-0.010217957
9/6/2018,162.53,2.210933535,-0.012250786
9/7/2018,163.04,2.212294167,0.001360631
9/10/2018,164.18,2.215320251,0.003026085
9/11/2018,165.94,2.219951086,0.004630834
9/12/2018,162,2.209515015,-0.010436071
9/13/2018,161.36,2.207795885,-0.001719129
9/14/2018,162.32,2.210372034,0.002576149
9/17/2018,160.58,2.205691454,-0.00468058
9/18/2018,160.3,2.204933522,-0.000757931
9/19/2018,163.06,2.212347438,0.007413916
9/20/2018,166.02,2.22016041,0.007812972
9/21/2018,162.93,2.212001058,-0.008159352
9/24/2018,165.41,2.218561762,0.006560704
9/25/2018,164.91,2.217246992,-0.00131477
9/26/2018,166.95,2.222586423,0.005339432
9/27/2018,168.84,2.227475343,0.00488892
9/28/2018,164.46,2.216060286,-0.011415058
10/1/2018,162.44,2.210692981,-0.005367305
10/2/2018,159.33,2.202297556,-0.008395425
10/3/2018,162.43,2.210666244,0.008368688
10/4/2018,158.85,2.200987219,-0.009679025
10/5/2018,157.33,2.196811543,-0.004175677
10/8/2018,157.25,2.196590654,-0.000220889
10/9/2018,157.9,2.19838213,0.001791476
10/10/2018,151.38,2.180068501,-0.018313629
10/11/2018,153.35,2.18568378,0.005615279
10/12/2018,153.74,2.186786877,0.001103096
10/15/2018,153.52,2.186164962,-0.000621915
10/16/2018,158.78,2.200795798,0.014630836
10/17/2018,159.42,2.202542805,0.001747007
10/18/2018,154.92,2.190107488,-0.012435316
10/19/2018,154.05,2.187661703,-0.002445786
10/22/2018,154.78,2.189714842,0.00205314
10/23/2018,154.39,2.188619167,-0.001095675
10/24/2018,146.04,2.164471824,-0.024147343
10/25/2018,150.95,2.178833117,0.014361293
10/26/2018,145.37,2.16247479,-0.016358327
10/29/2018,142.09,2.152563514,-0.009911276
10/30/2018,146.22,2.16500678,0.012443265
10/31/2018,151.79,2.181243161,0.016236381
11/1/2018,151.75,2.1811287,-0.000114461
11/2/2018,150.35,2.177103432,-0.004025267
11/5/2018,148.68,2.172252552,-0.00485088
11/6/2018,149.94,2.175917507,0.003664954
11/7/2018,151.53,2.180498623,0.004581117
11/8/2018,147.87,2.169880073,-0.01061855
11/9/2018,144.96,2.16124818,-0.008631893
11/12/2018,141.55,2.150909874,-0.010338307
11/13/2018,142.16,2.152777415,0.001867541
11/14/2018,144.22,2.159025491,0.006248076
11/15/2018,143.85,2.157909866,-0.001115625
11/16/2018,139.53,2.144667594,-0.013242272
11/19/2018,131.55,2.119090852,-0.025576742
11/20/2018,132.43,2.121986379,0.002895527
11/21/2018,134.82,2.129754323,0.007767944
11/23/2018,131.73,2.119684692,-0.010069631
11/26/2018,136.38,2.134750686,0.015065994
11/27/2018,135,2.130333768,-0.004416918
11/28/2018,136.76,2.135959092,0.005625324
11/29/2018,138.68,2.142013833,0.006054741
