Data,Zamkniecie,logprices,logrates
1/2/2018,1073.44,3.030777775,0
1/3/2018,1091.52,3.038031698,0.007253923
1/4/2018,1096,3.039810554,0.001778856
1/5/2018,1110.29,3.045436428,0.005625874
1/8/2018,1114.21,3.046967052,0.001530624
1/9/2018,1112.79,3.046413214,-0.000553838
1/10/2018,1110.14,3.045377751,-0.001035463
1/11/2018,1112.05,3.046124314,0.000746563
1/12/2018,1130.65,3.053328187,0.007203873
1/16/2018,1130.7,3.053347392,1.92051E-05
1/17/2018,1139.1,3.056561852,0.00321446
1/18/2018,1135.97,3.055366862,-0.00119499
1/19/2018,1143.5,3.058236169,0.002869307
1/22/2018,1164.16,3.066012673,0.007776504
1/23/2018,1176.17,3.070470098,0.004457425
1/24/2018,1171.29,3.068664435,-0.001805662
1/25/2018,1182.14,3.072668913,0.004004477
1/26/2018,1187.56,3.074655561,0.001986648
1/29/2018,1186.48,3.074260422,-0.000395139
1/30/2018,1177.37,3.070912966,-0.003347456
1/31/2018,1182.22,3.072698302,0.001785337
2/1/2018,1181.59,3.072466807,-0.000231495
2/2/2018,1119.2,3.048907701,-0.023559105
2/5/2018,1062.88,3.026484235,-0.022423466
2/6/2018,1084.43,3.035201524,0.008717288
2/7/2018,1055.41,3.023421205,-0.011780319
2/8/2018,1007.71,3.003335568,-0.020085636
2/9/2018,1046.27,3.019643773,0.016308205
2/12/2018,1055.33,3.023388284,0.003744511
2/13/2018,1054.21,3.022927132,-0.000461153
2/14/2018,1072.7,3.030478281,0.007551149
2/15/2018,1091.36,3.037968032,0.007489752
2/16/2018,1095.5,3.039612382,0.00164435
2/20/2018,1103.59,3.042807757,0.003195375
2/21/2018,1113.75,3.046787717,0.003979961
2/22/2018,1109.9,3.045283851,-0.001503866
2/23/2018,1128.09,3.052343749,0.007059898
2/26/2018,1143.7,3.058312121,0.005968372
2/27/2018,1117.51,3.048251418,-0.010060703
2/28/2018,1103.92,3.042937602,-0.005313816
3/1/2018,1071.41,3.029955696,-0.012981906
3/2/2018,1084.14,3.035085368,0.005129673
3/5/2018,1094.76,3.039318921,0.004233553
3/6/2018,1100.9,3.041747872,0.002428951
3/7/2018,1115.04,3.047290447,0.005542575
3/8/2018,1129.38,3.052840093,0.005549645
3/9/2018,1160.84,3.064772365,0.011932272
3/12/2018,1165.93,3.066672477,0.001900113
3/13/2018,1139.91,3.056870564,-0.009801913
3/14/2018,1148.89,3.060278449,0.003407886
3/15/2018,1150.61,3.060928144,0.000649695
3/16/2018,1134.42,3.054773875,-0.00615427
3/19/2018,1100.07,3.041420321,-0.013353553
3/20/2018,1095.8,3.039731296,-0.001689025
3/21/2018,1094,3.039017322,-0.000713974
3/22/2018,1053.15,3.022490232,-0.01652709
3/23/2018,1026.55,3.011380107,-0.011110125
3/26/2018,1054.09,3.022877693,0.011497586
3/27/2018,1006.94,3.003003593,-0.0198741
3/28/2018,1005.18,3.002243839,-0.000759754
3/29/2018,1037.14,3.015837384,0.013593545
4/2/2018,1012.63,3.00545079,-0.010386595
4/3/2018,1018.68,3.00803778,0.00258699
4/4/2018,1029.71,3.01271493,0.004677151
4/5/2018,1032.64,3.013948944,0.001234013
4/6/2018,1009.95,3.004299874,-0.00964907
4/9/2018,1020.09,3.00863849,0.004338617
4/10/2018,1036.5,3.015569306,0.006930816
4/11/2018,1025.06,3.010749287,-0.00482002
4/12/2018,1037.29,3.015900191,0.005150904
4/13/2018,1036.04,3.015376523,-0.000523668
4/16/2018,1046.1,3.019573202,0.004196679
4/17/2018,1079.36,3.03316632,0.013593117
4/18/2018,1075.39,3.031565994,-0.001600326
4/19/2018,1089.45,3.037207303,0.00564131
4/20/2018,1077.32,3.032344722,-0.004862581
4/23/2018,1073.81,3.030927444,-0.001417278
4/24/2018,1022.64,3.009722776,-0.021204668
4/25/2018,1022.99,3.009871388,0.000148612
4/26/2018,1043.31,3.01841337,0.008541982
4/27/2018,1031.45,3.01344818,-0.00496519
4/30/2018,1018.58,3.007995144,-0.005453036
5/1/2018,1040.75,3.01734642,0.009351275
5/2/2018,1026.05,3.011168525,-0.006177895
5/3/2018,1026.3,3.011274329,0.000105804
5/4/2018,1051,3.021602716,0.010328387
5/7/2018,1059.46,3.025084565,0.003481849
5/8/2018,1058.59,3.024727787,-0.000356777
5/9/2018,1088.95,3.037007939,0.012280152
5/10/2018,1105.47,3.043546961,0.006539022
5/11/2018,1103.38,3.042725108,-0.000821854
5/14/2018,1106.6,3.043990666,0.001265558
5/15/2018,1084.87,3.0353777,-0.008612966
5/16/2018,1084.09,3.035065338,-0.000312361
5/17/2018,1081.26,3.033930137,-0.001135201
5/18/2018,1069.64,3.029237635,-0.004692502
5/21/2018,1084.01,3.035033289,0.005795653
5/22/2018,1075.31,3.031533685,-0.003499604
5/23/2018,1085.96,3.035813829,0.004280144
5/24/2018,1085.45,3.035609823,-0.000204006
5/25/2018,1084.08,3.035061332,-0.000548491
5/29/2018,1068.07,3.028599717,-0.006461616
